,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
0,0135.a4.txt,1670.28,1008.68,715.84,574.84,8,0,2
1,2061.a4.txt,1317.31,1019.23,730.77,355.77,8,1,3
2,1067.a4.txt,1450.22,995.67,606.06,432.9,5,2,0
3,0216.a4.txt,1447.03,1300.6,473.73,292.85,8,0,4
4,3042.a4.txt,1289.34,1350.25,558.38,598.98,6,0,0
5,1032.a4.txt,1158.42,1287.13,683.17,554.46,7,1,1
6,2062.a4.txt,1229.43,1219.75,609.87,416.26,7,0,1
7,0238.a4.txt,1480.08,1309.3,474.38,313.09,5,0,1
8,2067.a4.txt,1290.66,1101.78,577.12,430.22,9,0,1
9,0102.a4.txt,1567.31,1115.38,567.31,346.15,10,0,5
10,4028.a4.txt,1453.61,1298.97,525.77,505.15,4,0,2
11,1018.a4.txt,1501.62,1209.42,641.23,430.19,8,0,2
12,1065.a4.txt,1326.53,1190.48,714.29,399.66,9,0,2
13,2048.a4.txt,1684.7,1035.55,734.16,332.3,8,0,3
14,2019.a4.txt,1536.08,1278.35,484.54,412.37,6,0,1
15,1008.a4.txt,1630.43,988.14,711.46,553.36,6,2,3
16,0119.a4.txt,1557.47,1364.12,472.61,365.2,2,0,4
17,2042.a4.txt,1473.48,1051.08,658.15,275.05,9,0,0
18,0161.a4.txt,1637.25,1088.24,735.29,284.31,4,0,4
19,0234.a4.txt,1634.41,989.25,752.69,526.88,9,0,2
20,2022.a4.txt,1476.25,1232.35,500.64,359.44,9,0,2
21,0213.a4.txt,1732.37,1068.46,508.3,487.55,3,1,3
22,1074.a4.txt,1409.09,1045.45,754.55,454.55,7,0,1
23,4023.a4.txt,1304.35,1140.1,618.36,560.39,8,1,0
24,0218.a4.txt,1243.63,1172.27,621.81,214.07,5,1,1
25,2064.a4.txt,1430.11,1193.55,537.63,354.84,8,0,0
26,0190.a4.txt,1331.95,1050.99,478.67,343.39,3,1,5
27,2030.a4.txt,1390.33,1269.43,483.59,423.14,7,0,2
28,0237.a4.txt,1495.23,1208.91,731.71,466.6,3,0,1
29,2055.a4.txt,1477.63,978.15,572.32,332.99,9,0,0
30,1121.a4.txt,1574.16,1101.0,573.25,545.95,7,0,2
31,2014.a4.txt,1361.26,1064.57,671.9,401.4,7,0,2
32,0105.a4.txt,1410.69,1149.03,546.08,728.1,6,0,2
33,0139.a4.txt,1402.71,837.1,769.23,305.43,6,0,2
34,4045.a4.txt,1520.08,1080.31,564.05,564.05,7,0,0
35,0108.a4.txt,1441.61,1304.74,620.44,392.34,9,0,2
36,0204.a4.txt,1480.19,1083.92,536.13,372.96,7,0,1
37,0222.a4.txt,1678.83,1220.02,604.8,427.53,3,0,3
38,0219.a4.txt,1228.81,1197.03,773.31,625.0,7,0,1
39,1012.a4.txt,1733.07,956.18,776.89,358.57,8,0,1
40,0194.a4.txt,1680.16,1184.21,576.92,394.74,7,0,3
41,1076.a4.txt,1552.8,1073.65,585.63,292.81,7,1,3
42,0235.a4.txt,1464.97,1167.73,658.17,297.24,5,0,4
43,2072.a4.txt,1699.03,1184.47,650.49,485.44,6,0,5
44,0227.a4.txt,1745.54,1124.9,411.17,325.83,8,0,3
45,0224.a4.txt,1320.4,1126.41,669.59,369.21,9,0,5
46,1095.a4.txt,1528.09,1146.07,685.39,584.27,9,0,0
47,0192.a4.txt,1775.9,1194.5,443.97,359.41,2,0,2
48,0121.a4.txt,1391.01,1085.67,602.21,458.02,9,0,4
49,2011.a4.txt,1779.66,922.79,790.96,376.65,8,0,2
50,1014.a4.txt,1394.87,1282.05,574.36,389.74,8,0,1
51,0112.a4.txt,1431.51,1184.35,545.83,391.35,1,0,4
52,2000.a4.txt,1786.09,955.35,643.82,446.52,6,0,2
53,2007.a4.txt,1406.88,1113.36,475.71,445.34,7,1,3
54,0169.a4.txt,1472.19,1275.9,719.74,348.96,3,0,1
55,1017.a4.txt,1526.83,1050.64,755.86,544.22,3,0,1
56,0205.a4.txt,1405.49,1066.24,533.12,468.5,11,0,3
57,1094.a4.txt,1191.49,1191.49,574.47,595.74,8,1,1
58,0215.a4.txt,1737.73,949.32,587.29,313.76,11,0,4
59,5009.a4.txt,1415.4,1020.41,697.83,322.58,5,0,1
60,2035.a4.txt,1461.99,1150.1,380.12,448.34,3,0,1
61,1102.a4.txt,1408.73,1101.19,803.57,426.59,6,1,3
62,1048.a4.txt,1441.52,1323.66,534.9,571.17,4,0,2
63,0187.a4.txt,1382.74,1338.5,530.97,331.86,4,0,6
64,4030.a4.txt,1353.38,1372.18,451.13,563.91,7,0,1
65,2065.a4.txt,1057.06,1178.67,570.63,411.6,10,0,3
66,1003.a4.txt,1900.31,1059.19,623.05,295.95,4,0,1
67,2031.a4.txt,1587.9,982.99,652.17,472.59,10,0,3
68,2038.a4.txt,1746.86,983.26,627.62,418.41,6,0,2
69,1049.a4.txt,1366.01,1303.44,813.35,500.52,7,0,1
70,1066.a4.txt,1717.48,965.45,752.03,294.72,5,0,2
71,2059.a4.txt,1520.47,1003.9,614.04,389.86,7,0,3
