,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
0,4020.a2.txt,1624.83,977.54,766.18,488.77,4,0,3
1,3064.a2.txt,1941.75,1067.96,825.24,400.49,0,0,0
2,0133.a2.txt,1798.63,997.07,948.19,518.08,1,0,1
3,0209.a2.txt,2314.36,891.09,754.95,272.28,2,0,0
4,1067.a2.txt,2355.89,1278.2,1040.1,463.66,1,0,2
5,1022.a2.txt,2220.89,1296.52,540.22,396.16,0,1,0
6,0106.a2.txt,1672.68,1131.17,734.06,541.52,0,1,1
7,1095.a2.txt,1845.97,1405.87,599.02,403.42,0,0,0
8,2020.a2.txt,2452.23,764.33,1210.19,334.39,0,0,2
9,5040.a2.txt,2074.74,1211.34,631.44,554.12,0,0,2
10,1104.a2.txt,1977.89,1105.65,835.38,417.69,1,0,0
11,5032.a2.txt,2153.43,1063.26,861.37,578.73,0,1,1
12,0199.a2.txt,1918.32,1101.49,878.71,358.91,0,0,0
13,0143.a2.txt,1969.7,1136.36,919.91,422.08,0,0,0
14,2005.a2.txt,2061.4,1195.18,723.68,471.49,1,0,2
15,2031.a2.txt,1851.43,1074.29,982.86,640.0,0,0,1
16,3068.a2.txt,1799.27,1077.11,697.67,514.08,0,1,1
17,0102.a2.txt,1830.14,1136.36,645.93,681.82,0,1,1
18,3033.a2.txt,1904.29,1276.17,628.12,448.65,1,0,1
19,1074.a2.txt,1964.84,1096.17,889.35,506.72,0,0,1
20,2049.a2.txt,1655.37,1093.9,561.47,658.28,0,1,2
21,0197.a2.txt,1838.05,951.16,758.35,604.11,1,0,0
22,0146.a2.txt,1592.36,1433.12,668.79,509.55,0,0,0
23,0179.a2.txt,1984.13,1203.7,992.06,396.83,0,0,0
24,2062.a2.txt,1648.75,1218.64,692.95,669.06,1,0,0
25,0226.a2.txt,1827.41,1116.75,812.18,571.07,0,0,0
26,0139.a2.txt,1794.87,1201.08,755.74,580.3,0,0,0
27,0156.a2.txt,1782.18,1074.96,693.07,509.19,1,0,0
28,0155.a2.txt,2033.25,1265.98,1138.11,664.96,0,0,1
29,4039.a2.txt,1511.63,1179.4,614.62,415.28,2,0,0
30,5007.a2.txt,2068.97,1034.48,812.81,246.31,1,0,0
31,2074.a2.txt,2026.07,947.87,936.02,509.48,2,1,7
32,3040.a2.txt,1603.43,1309.67,575.28,550.8,0,0,2
33,3067.a2.txt,1937.98,1124.03,749.35,361.76,1,1,0
