,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
0,0223.a5.txt,1588.15,1033.43,676.29,387.54,6,3,6
1,0182.a5.txt,2265.06,1076.31,738.96,425.7,7,0,2
2,2026.a5.txt,1791.04,839.55,736.94,438.43,4,5,1
3,2035.a5.txt,1811.09,889.93,663.54,468.38,3,0,1
4,0102.a5.txt,1658.77,1034.76,876.78,268.56,7,3,5
5,0222.a5.txt,1771.54,1151.98,697.0,416.26,0,1,1
6,2071.a5.txt,2283.91,1061.14,892.48,400.56,2,0,1
7,0159.a5.txt,2115.89,1062.34,965.76,333.63,0,0,0
8,1018.a5.txt,2038.0,958.55,898.1,276.34,4,1,1
9,0105.a5.txt,1530.52,1042.25,553.99,582.16,2,4,3
10,2075.a5.txt,1986.83,817.78,625.69,417.12,10,1,4
11,1022.a5.txt,2385.65,1156.95,1058.3,466.37,1,0,0
12,1036.a5.txt,1384.22,944.37,659.77,310.48,5,1,3
13,0134.a5.txt,1752.17,986.58,710.34,473.56,4,1,3
14,1074.a5.txt,1920.29,1077.9,851.45,534.42,3,1,1
15,1057.a5.txt,1374.8,1211.13,613.75,343.7,6,2,2
16,1070.a5.txt,1354.55,1190.91,709.09,318.18,11,2,2
17,0199.a5.txt,1814.71,993.31,773.64,382.04,6,5,1
18,0215.a5.txt,1767.96,955.01,560.38,284.14,9,2,3
19,0188.a5.txt,1567.11,1047.32,744.76,457.72,6,1,2
20,0219.a5.txt,2064.92,982.87,892.7,604.15,3,0,3
21,2040.a5.txt,2010.31,979.38,850.52,335.05,11,0,7
22,1034.a5.txt,1817.25,1016.43,749.49,379.88,4,3,6
23,0158.a5.txt,1589.11,1202.81,763.83,544.34,7,0,3
24,0137.a5.txt,1806.33,1061.45,577.28,456.24,2,2,4
25,1008.a5.txt,1923.38,1021.55,877.89,430.97,6,0,1
26,1010.a5.txt,2247.84,883.77,893.37,307.4,5,0,8
27,1021.a5.txt,1835.94,1145.83,664.06,403.65,4,0,5
28,1094.a5.txt,1487.83,1352.57,541.03,252.48,9,1,2
29,0108.a5.txt,2101.56,1062.5,765.62,328.12,7,0,5
30,1072.a5.txt,1398.65,1062.08,546.0,463.72,5,3,8
31,2028.a5.txt,2039.84,913.46,734.89,439.56,13,1,1
32,1068.a5.txt,1966.02,1310.68,728.16,509.71,2,2,1
33,0193.a5.txt,2187.77,1076.66,835.49,396.21,1,0,1
34,1081.a5.txt,2053.49,1079.27,907.35,429.8,2,0,4
35,2039.a5.txt,1277.43,987.46,736.68,423.2,12,2,3
36,1062.a5.txt,1488.33,868.87,772.33,450.52,7,2,6
37,1104.a5.txt,1670.86,990.76,579.35,445.0,9,5,6
38,2019.a5.txt,1806.05,1165.48,667.26,364.77,9,5,2
39,1005.a5.txt,1808.26,1005.46,584.57,358.53,3,1,4
40,0178.a5.txt,1530.61,1020.41,795.92,462.59,9,5,3
41,0122.a5.txt,1757.36,1025.87,722.57,365.74,6,0,1
42,1023.a5.txt,1654.96,999.22,679.16,437.16,8,3,3
43,0238.a5.txt,1898.2,1145.28,668.08,328.74,3,1,0
44,2050.a5.txt,1669.41,871.71,682.57,460.53,7,3,9
45,1112.a5.txt,2010.62,1092.56,1024.28,523.52,6,0,1
46,1012.a5.txt,1975.0,1025.0,741.67,325.0,3,0,0
47,0106.a5.txt,1996.14,964.32,848.6,655.74,2,0,0
48,1095.a5.txt,1491.23,1043.86,815.79,421.05,7,1,1
49,0227.a5.txt,1625.54,928.88,761.97,348.33,12,2,1
50,1032.a5.txt,2159.47,1162.79,664.45,573.09,0,0,1
51,0234.a5.txt,1588.39,922.29,512.38,333.05,10,6,4
52,2032.a5.txt,1689.19,903.72,988.18,337.84,4,1,3
53,2015.a5.txt,1845.69,945.54,763.99,332.83,4,2,5
54,1064.a5.txt,2193.34,1251.02,609.26,584.89,2,0,2
55,1088.a5.txt,1361.67,1118.82,858.63,329.58,7,0,0
56,2020.a5.txt,2010.54,913.08,816.51,254.61,5,1,2
57,2048.a5.txt,1478.98,765.77,1036.04,322.82,14,1,5
58,0128.a5.txt,1945.79,1132.62,832.53,484.03,1,6,0
59,2045.a5.txt,1917.19,1035.1,738.07,324.03,6,2,2
60,0185.a5.txt,1807.33,1048.59,724.64,221.65,4,3,3
61,0140.a5.txt,1716.35,1029.81,632.34,280.04,6,3,2
62,0192.a5.txt,1658.21,1116.75,651.44,439.93,9,2,2
63,1041.a5.txt,1646.55,870.69,724.14,439.66,12,2,6
64,1043.a5.txt,1473.41,1115.95,627.72,540.54,8,1,0
65,1065.a5.txt,1818.18,966.94,727.27,388.43,10,3,4
66,0121.a5.txt,1543.54,1029.02,613.46,382.59,6,0,6
67,2014.a5.txt,2200.62,1018.66,832.04,458.79,5,0,3
68,2066.a5.txt,2143.54,1167.46,851.67,277.51,6,2,0
69,0161.a5.txt,2190.78,881.16,970.09,258.69,3,0,3
70,0111.a5.txt,1669.78,1044.78,680.97,307.84,7,6,4
71,0104.a5.txt,1897.48,935.25,638.49,368.71,5,3,6
72,1014.a5.txt,1873.44,1032.47,799.33,349.71,6,3,3
73,0187.a5.txt,2282.61,1105.07,778.99,362.32,5,1,5
74,0171.a5.txt,1570.91,952.73,523.64,385.45,15,2,2
75,2034.a5.txt,1714.94,884.15,609.76,373.48,6,2,11
76,0139.a5.txt,1340.87,1195.48,525.04,315.02,9,3,5
77,0119.a5.txt,1839.27,1093.62,737.37,231.98,7,3,3
78,2058.a5.txt,1438.46,938.46,615.38,346.15,8,1,5
79,0163.a5.txt,2321.16,928.46,882.8,433.79,1,0,0
80,0198.a5.txt,2138.0,1010.69,806.61,369.29,2,0,0
81,1121.a5.txt,1520.3,1070.11,678.97,509.23,4,2,2
82,0165.a5.txt,2054.2,987.76,830.42,288.46,5,0,3
83,1003.a5.txt,2214.95,1046.73,719.63,242.99,4,0,0
84,1048.a5.txt,2161.74,1010.89,676.52,412.13,3,0,6
85,1050.a5.txt,1609.66,1106.64,764.59,482.9,6,4,1
86,2012.a5.txt,2037.74,830.19,716.98,369.81,5,2,6
87,0112.a5.txt,2162.65,1081.32,643.43,580.88,3,0,3
88,0186.a5.txt,1959.35,967.48,886.18,398.37,6,0,1
89,1102.a5.txt,2073.94,1009.92,694.32,315.6,3,1,1
90,0214.a5.txt,1641.39,1106.16,669.05,312.22,9,4,2
91,2049.a5.txt,2274.18,1137.09,1105.21,340.06,5,1,0
92,0206.a5.txt,1480.88,951.99,707.89,358.01,5,1,5
93,2007.a5.txt,1534.15,873.46,705.49,559.91,7,4,2
94,0197.a5.txt,1480.88,886.9,374.29,333.6,7,1,5
95,1061.a5.txt,1463.41,1076.53,588.73,235.49,15,2,3
96,0157.a5.txt,1737.21,1172.84,634.92,590.83,3,0,0
97,1055.a5.txt,1804.79,1068.14,1049.72,460.41,1,2,1
98,0130.a5.txt,1672.0,936.0,744.0,288.0,14,2,1
99,1100.a5.txt,1591.1,1120.62,573.14,325.06,4,1,4
