,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
0,0310.b3.txt,1748.45,721.65,804.12,564.95,23,6,12
1,0103.b3.txt,2013.42,621.92,604.03,259.51,23,2,26
2,1533.b3.txt,1713.24,895.1,704.74,340.22,9,0,17
3,1097.b3.txt,1605.48,832.11,910.43,528.63,13,1,9
4,0165.b3.txt,1714.95,656.01,632.7,249.75,44,0,23
5,0171.b3.txt,1646.69,788.64,820.19,315.46,12,1,20
6,0122.b3.txt,1407.72,802.92,604.8,265.9,15,2,17
7,0307.b3.txt,1627.01,741.56,769.23,232.43,12,4,20
8,0139.b3.txt,1976.33,852.07,840.24,366.86,12,1,8
9,0200.b3.txt,1801.2,787.19,853.9,426.95,10,0,4
10,2018.b3.txt,1791.13,1032.67,682.61,297.55,11,0,13
11,1102.b3.txt,1681.42,707.96,921.83,435.1,4,4,4
12,1520.b3.txt,1195.4,813.79,533.33,294.25,22,1,31
13,0313.b3.txt,1804.92,596.08,800.33,287.62,7,2,12
14,2034.b3.txt,1420.18,1153.23,597.97,405.77,18,0,12
15,1100.b3.txt,1689.29,814.48,678.73,316.74,14,2,5
16,1057.b3.txt,1818.72,965.27,656.27,370.81,20,1,15
17,0140.b3.txt,2840.14,671.77,586.73,272.11,6,0,2
18,1069.b3.txt,1479.94,713.22,659.73,401.19,37,1,26
19,1508.b3.txt,1527.45,868.74,653.94,315.04,18,1,19
20,1066.b3.txt,1713.98,894.48,969.47,433.85,10,0,9
21,0303.b3.txt,1519.27,770.98,816.33,430.84,2,0,1
22,0304.b3.txt,1716.36,843.64,618.18,443.64,7,3,9
23,1536.b3.txt,1830.91,748.52,683.9,468.5,13,3,6
24,1023.b3.txt,1276.87,736.16,814.33,462.54,8,0,9
25,1112.b3.txt,1616.08,910.58,836.75,467.6,8,0,9
26,0308.b3.txt,1765.08,901.59,844.44,704.76,4,1,4
27,1532.b3.txt,1651.96,862.75,681.37,372.55,20,3,20
28,0130.b3.txt,1578.41,760.93,694.09,426.74,12,5,12
29,1082.b3.txt,2122.5,687.85,913.86,321.0,14,3,15
30,0134.b3.txt,1577.1,940.42,806.07,817.76,12,0,12
31,1534.b3.txt,1705.78,839.35,974.73,496.39,14,0,10
32,0133.b3.txt,1334.56,786.93,561.44,368.15,38,4,19
33,0300.b3.txt,1602.79,846.19,806.37,293.68,24,1,15
34,0105.b3.txt,1401.55,868.44,773.86,395.53,7,0,8
