,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
0,0192.a3.txt,1522.03,1281.71,560.75,240.32,1,0,1
1,4048.a3.txt,2041.61,1014.3,702.21,637.19,1,1,1
2,4026.a3.txt,2666.67,1066.67,893.33,346.67,0,1,0
3,0208.a3.txt,1938.53,1241.13,460.99,768.32,0,0,0
4,2058.a3.txt,1931.94,1097.69,603.73,614.71,3,0,3
5,0214.a3.txt,1712.57,970.06,862.28,550.9,5,0,3
6,0169.a3.txt,2166.06,1046.93,613.72,445.25,2,0,4
7,1094.a3.txt,1870.32,1296.76,610.97,486.28,1,0,0
8,4047.a3.txt,1592.92,1264.22,670.04,783.82,1,0,0
9,5007.a3.txt,1891.62,971.37,705.52,449.9,5,0,6
10,1072.a3.txt,2186.15,1006.49,757.58,508.66,0,0,0
11,2042.a3.txt,1760.1,1225.55,638.85,612.78,2,0,0
12,0134.a3.txt,2087.38,983.01,1007.28,594.66,0,0,0
13,2024.a3.txt,1765.35,1250.0,581.14,515.35,0,0,0
14,1106.a3.txt,1928.19,1183.51,625.0,412.23,2,0,1
15,0227.a3.txt,1912.57,1092.9,724.04,491.8,1,0,1
16,3063.a3.txt,2098.48,1078.55,574.44,633.06,1,0,1
17,1017.a3.txt,1965.91,1284.09,738.64,579.55,0,0,0
18,0110.a3.txt,2025.16,1257.86,679.25,503.14,2,0,1
19,2074.a3.txt,1964.29,1096.94,752.55,522.96,4,1,4
20,0175.a3.txt,1903.55,1180.2,558.38,380.71,1,0,0
21,1032.a3.txt,1541.18,1305.88,788.24,682.35,0,0,0
22,0221.a3.txt,1917.61,1278.41,582.39,326.7,0,0,0
23,2061.a3.txt,2061.16,1200.45,656.85,554.93,3,0,0
24,0173.a3.txt,2148.88,1207.87,547.75,519.66,1,0,1
25,2045.a3.txt,1893.56,1113.86,717.82,457.92,3,0,2
26,2050.a3.txt,2265.53,1035.32,779.54,365.41,2,0,1
27,1074.a3.txt,1934.73,1165.5,699.3,454.55,1,0,0
28,0101.a3.txt,1988.7,1096.05,734.46,451.98,1,0,3
29,2020.a3.txt,2009.27,1081.92,911.9,618.24,0,0,1
30,3001.a3.txt,1995.01,1259.35,623.44,411.47,0,0,0
31,1112.a3.txt,1738.07,1297.43,648.71,538.56,1,0,0
32,1095.a3.txt,1985.47,1101.69,569.01,399.52,4,0,3
33,1043.a3.txt,1818.18,1054.55,703.03,642.42,5,0,2
34,2048.a3.txt,2083.33,979.17,718.75,322.92,5,0,2
35,2067.a3.txt,1880.79,1245.03,622.52,344.37,1,0,0
36,2047.a3.txt,2042.08,1163.37,878.71,482.67,0,0,0
37,2059.a3.txt,2110.55,1105.53,753.77,376.88,7,0,7
38,5035.a3.txt,2086.49,940.54,951.35,702.7,3,0,2
39,4039.a3.txt,1708.95,1308.41,654.21,640.85,0,0,0
40,0237.a3.txt,2273.31,970.63,855.68,357.6,0,0,1
41,0198.a3.txt,1845.24,1035.71,476.19,488.1,2,1,0
42,4010.a3.txt,1520.0,1260.0,740.0,630.0,2,0,0
43,1100.a3.txt,2207.96,1052.63,757.38,436.46,0,0,0
44,5016.a3.txt,1642.19,1001.34,667.56,640.85,3,0,2
45,2065.a3.txt,2031.25,1203.12,453.12,453.12,0,0,5
46,0202.a3.txt,1985.43,1165.76,947.18,418.94,0,0,1
47,2036.a3.txt,1675.98,1117.32,513.97,614.53,2,0,1
48,4004.a3.txt,2007.48,1259.35,586.03,486.28,2,0,0
49,4028.a3.txt,1405.41,1364.86,594.59,716.22,0,0,0
50,2008.a3.txt,1968.62,970.04,827.39,513.55,0,1,0
