,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
0,3523.b2.txt,2281.64,1176.47,695.19,329.77,3,0,6
1,1541.b2.txt,2006.34,876.45,897.57,601.9,2,0,1
2,1528.b2.txt,1719.46,1058.82,832.58,289.59,6,0,1
3,1532.b2.txt,1481.48,1000.0,907.41,509.26,10,1,6
4,3501.b2.txt,1700.75,904.2,613.56,269.11,5,0,10
5,1104.b2i.txt,1863.91,1074.95,552.27,473.37,2,0,1
6,1006.b2.txt,1810.44,1011.71,638.98,447.28,0,0,2
7,3508.b2.txt,2039.47,1085.53,838.82,345.39,4,0,1
8,0140.b2.txt,1969.7,1000.0,595.96,515.15,4,0,2
9,3511.b2.txt,1941.39,1117.22,576.92,402.93,4,0,5
10,1057.b2.txt,1785.17,1127.08,711.04,491.68,1,0,2
11,3504.b2.txt,2067.31,1086.54,673.08,326.92,7,0,2
12,0300.b2.txt,1731.64,1323.66,825.02,371.71,2,0,3
13,3506.b2.txt,1810.25,1068.7,588.88,414.39,3,0,1
14,3503.b2.txt,2114.29,948.57,765.71,354.29,4,1,6
15,3013.b2.txt,1587.88,1006.06,690.91,400.0,7,0,9
16,2070.b2.txt,1646.83,1190.48,734.13,496.03,6,0,3
17,0103.b2.txt,2077.34,1097.12,557.55,377.7,3,0,1
18,3507.b2.txt,1679.2,994.15,952.38,367.59,3,0,3
19,0134.b2.txt,1735.04,923.08,1196.58,632.48,3,0,2
20,3520.b2.txt,2001.6,1080.86,688.55,352.28,4,0,4
21,1003.b2.txt,1805.01,1212.12,803.69,382.08,7,0,2
22,3505.b2.txt,1882.48,1186.07,750.82,424.37,6,0,1
23,1508.b2.txt,1451.92,1355.77,605.77,317.31,4,0,2
24,4012.b2.txt,1980.49,1073.17,643.9,468.29,0,0,0
25,2070.b2i.txt,1641.94,1186.94,731.95,494.56,7,0,3
26,2030.b2.txt,1580.22,1387.21,603.14,566.95,0,0,0
27,2012.b2.txt,1840.09,898.14,766.7,219.06,2,0,1
28,1100.b2.txt,1496.52,1067.29,754.06,464.04,4,0,2
29,3518.b2.txt,1287.03,1287.03,572.01,316.65,8,1,8
30,4036.b2.txt,1692.73,984.36,772.77,441.58,10,2,8
31,1112.b2.txt,1880.0,952.0,592.0,352.0,18,0,4
32,1097.b2.txt,1758.49,1003.77,686.79,528.3,4,0,2
33,2034.b2.txt,1781.87,1059.91,537.63,522.27,4,0,3
34,1520.b2.txt,1751.89,1207.04,620.28,427.49,5,0,3
35,0165.b2.txt,1912.42,1018.77,759.61,303.84,1,0,0
36,1021.b2.txt,1981.98,1036.04,639.64,351.35,6,0,3
37,4038.b2.txt,1974.66,1341.08,517.42,506.86,2,0,2
38,1104.b2.txt,1863.91,1074.95,552.27,473.37,2,0,1
39,2066.b2.txt,2123.55,1171.17,913.77,501.93,3,0,3
40,3522.b2.txt,1936.71,1063.29,797.47,544.3,5,0,0
41,2032.b2.txt,1937.87,1065.09,769.23,369.82,2,0,4
42,1006.b2i.txt,1810.44,1011.71,638.98,447.28,0,0,2
43,3020.b2.txt,1796.64,1095.76,552.81,256.66,2,0,2
44,2028.b2i.txt,1872.83,1283.24,797.69,358.38,2,0,0
45,0310.b2.txt,2310.84,950.92,511.25,449.9,5,0,1
46,0139.b2.txt,1543.55,1245.87,915.1,474.09,2,0,2
47,0313.b2.txt,1512.54,1042.32,877.74,478.06,7,1,4
48,3519.b2.txt,1655.93,1214.35,671.57,386.38,5,0,0
49,0308.b2.txt,1555.56,1012.35,913.58,641.98,1,0,4
50,2019.b2.txt,1638.14,1173.59,806.85,562.35,1,0,1
51,0200.b2.txt,1763.58,1143.95,1039.08,600.57,2,0,11
52,1023.b2.txt,1515.5,952.93,711.83,482.2,6,1,5
53,1533.b2.txt,1795.44,1206.77,713.76,301.69,7,0,5
54,3525.b2.txt,1807.51,1103.29,821.6,410.8,5,0,5
55,3509.b2.txt,1915.98,1014.34,788.93,512.3,3,0,3
56,2028.b2.txt,1894.74,1298.25,807.02,362.57,2,0,0
