,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
0,0105.b1.txt,2033.43,1044.57,682.45,863.51,0,0,1
1,1100.b1.txt,1989.32,1081.44,1148.2,560.75,0,0,0
2,3522.b1.txt,2060.13,1158.13,712.69,467.71,1,0,4
3,3504.b1.txt,2104.61,958.9,722.29,485.68,7,0,12
4,2012.b1.txt,1819.24,1042.87,648.9,579.37,3,0,1
5,2066.b1.txt,1836.46,1340.48,603.22,388.74,6,0,0
6,4507.b1.txt,2296.98,1310.9,765.66,510.44,2,0,1
7,1102.b1.txt,2287.36,977.01,678.16,471.26,0,0,4
8,3513.b1.txt,2157.68,1265.56,861.0,321.58,2,1,1
9,3509.b1.txt,1793.1,1068.97,758.62,597.7,1,0,6
10,2012.b1i.txt,1819.24,1042.87,648.9,579.37,3,0,1
11,0310.b1.txt,2034.88,965.12,709.3,639.53,5,0,4
12,4503.b1.txt,1862.5,1100.0,625.0,375.0,2,2,2
13,1081.b1.txt,1913.77,1125.13,767.61,504.73,2,0,3
14,2032.b1.txt,1820.48,1238.94,758.53,619.47,2,0,0
15,0313.b1.txt,1715.53,1064.06,651.47,738.33,0,0,0
16,3519.b1.txt,1458.0,966.72,824.09,459.59,0,0,4
17,2042.b1.txt,1641.6,1177.94,739.35,614.04,1,0,2
18,3508.b1.txt,1851.46,847.28,1108.79,564.85,2,4,1
19,0304.b1.txt,1770.33,1307.81,749.6,622.01,1,0,0
20,3013.b1.txt,1973.54,1168.69,937.16,363.84,2,0,0
21,3501.b1.txt,2311.76,977.54,924.7,422.72,3,1,3
22,1523.b1.txt,1230.33,1201.72,858.37,686.7,1,1,3
23,1057.b1.txt,1734.5,1230.62,765.5,697.67,0,1,0
24,3018.b1.txt,1942.45,1235.01,683.45,527.58,2,0,2
25,3525.b1.txt,1766.56,1214.51,741.32,362.78,3,0,2
26,1508.b1.txt,2206.98,1159.6,760.6,561.1,0,0,0
27,1528.b1.txt,2033.54,1090.15,566.04,272.54,7,0,4
