,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PERSON,Unique LOC,Unique ORG
0,0158.b6.txt,1522.49,1257.21,749.71,657.44,2,0,0
1,0198.b6.txt,1542.94,1193.6,727.8,451.24,3,0,0
2,0107.b6.txt,1739.13,1214.83,882.35,409.21,1,0,1
3,0157.b6.txt,1215.47,1395.03,704.42,635.36,2,0,0
4,0185.b6.txt,1609.2,1307.47,747.13,416.67,2,0,0
5,0178.b6.txt,1752.9,1119.32,897.57,559.66,2,0,1
6,0318.b6.txt,1754.9,980.39,843.14,460.78,5,0,2
7,0223.b6.txt,1706.1,1207.97,684.93,635.12,2,0,0
8,0151.b6.txt,1516.29,1328.32,676.69,563.91,3,0,0
9,0137.b6.txt,1751.34,1256.68,909.09,534.76,1,0,0
10,0219.b6.txt,1689.94,1312.85,516.76,377.09,1,0,0
11,0238.b6.txt,1400.97,1417.07,805.15,418.68,3,0,0
